index,Ag,Au,Pd,Pt,Composition,Similarity_to_Resistance
290,22.58,12.42,25.45,39.55,Ag22.58Au12.42Pd25.45Pt39.55,0.35761154
291,20.39,11.97,28.16,39.48,Ag20.39Au11.97Pd28.16Pt39.48,0.35815266
292,19.63,12.08,30.03,38.26,Ag19.63Au12.08Pd30.03Pt38.26,0.35599223
293,18.17,11.01,32.84,37.98,Ag18.17Au11.01Pd32.84Pt37.98,0.35628608
294,17.33,10.17,36.67,35.83,Ag17.33Au10.17Pd36.67Pt35.83,0.3528277
295,15.76,9.19,39.02,36.02,Ag15.76Au9.19Pd39.02Pt36.02,0.3538721
296,40.07,16.12,6.58,37.23,Ag40.07Au16.12Pd6.58Pt37.23,0.34602764
297,38.05,16.67,8.05,37.24,Ag38.05Au16.67Pd8.05Pt37.24,0.3464168
298,36.35,15.72,10.06,37.86,Ag36.35Au15.72Pd10.06Pt37.86,0.34876135
299,34.31,16.05,10.54,39.09,Ag34.31Au16.05Pd10.54Pt39.09,0.3514099
300,31.74,15.41,12.35,40.5,Ag31.74Au15.41Pd12.35Pt40.50,0.3551262
301,31.65,14.23,13.3,40.82,Ag31.65Au14.23Pd13.30Pt40.82,0.35647672
302,29.16,13.98,15.57,41.29,Ag29.16Au13.98Pd15.57Pt41.29,0.35818613
303,27.32,14.07,17.08,41.53,Ag27.32Au14.07Pd17.08Pt41.53,0.3590494
304,25.26,13.52,18.87,42.35,Ag25.26Au13.52Pd18.87Pt42.35,0.3613451
305,24.07,12.26,21.38,42.3,Ag24.07Au12.26Pd21.38Pt42.30,0.36228815
306,23.05,11.45,23.53,41.97,Ag23.05Au11.45Pd23.53Pt41.97,0.36240792
307,20.69,10.5,26.96,41.85,Ag20.69Au10.50Pd26.96Pt41.85,0.3631916
308,19.9,10.11,29.2,40.78,Ag19.90Au10.11Pd29.20Pt40.78,0.36163056
309,17.73,9.04,32.27,40.96,Ag17.73Au9.04Pd32.27Pt40.96,0.36285257
310,16.76,9.68,33.52,40.04,Ag16.76Au9.68Pd33.52Pt40.04,0.36096862
311,37.5,14.64,8.22,39.64,Ag37.50Au14.64Pd8.22Pt39.64,0.35220784
312,37.11,14.09,8.71,40.09,Ag37.11Au14.09Pd8.71Pt40.09,0.35349765
313,33.42,14.36,10.67,41.55,Ag33.42Au14.36Pd10.67Pt41.55,0.35710967
314,32.56,13.72,11.28,42.44,Ag32.56Au13.72Pd11.28Pt42.44,0.35934097
315,30.66,12.89,13.03,43.42,Ag30.66Au12.89Pd13.03Pt43.42,0.3621434
316,29.32,12.33,14.66,43.7,Ag29.32Au12.33Pd14.66Pt43.70,0.36335957
317,27.34,12.13,16.18,44.35,Ag27.34Au12.13Pd16.18Pt44.35,0.3651446
318,25.74,11.61,17.86,44.79,Ag25.74Au11.61Pd17.86Pt44.79,0.3666235
319,24.31,10.55,20.34,44.8,Ag24.31Au10.55Pd20.34Pt44.80,0.36761123
320,22.83,10.77,22.19,44.21,Ag22.83Au10.77Pd22.19Pt44.21,0.36677974
321,20.92,9.88,24.22,44.98,Ag20.92Au9.88Pd24.22Pt44.98,0.36900434
322,19.74,9.22,27.51,43.53,Ag19.74Au9.22Pd27.51Pt43.53,0.36704582
323,18.26,8.33,29.79,43.62,Ag18.26Au8.33Pd29.79Pt43.62,0.36791843
324,35.88,12.88,7.88,43.38,Ag35.88Au12.88Pd7.88Pt43.38,0.36039218
325,33.97,12.26,9.58,44.19,Ag33.97Au12.26Pd9.58Pt44.19,0.3628314
326,32.37,11.58,11.84,44.21,Ag32.37Au11.58Pd11.84Pt44.21,0.36381304
327,29.96,11.65,12.34,46.05,Ag29.96Au11.65Pd12.34Pt46.05,0.36761084
328,28.3,11.44,13.93,46.33,Ag28.30Au11.44Pd13.93Pt46.33,0.3686836
329,27.47,10.34,14.92,47.27,Ag27.47Au10.34Pd14.92Pt47.27,0.37116772
330,25.38,10.24,16.97,47.4,Ag25.38Au10.24Pd16.97Pt47.40,0.3719797
331,24.68,9.65,18.51,47.15,Ag24.68Au9.65Pd18.51Pt47.15,0.37207782
332,22.34,8.59,21.13,47.94,Ag22.34Au8.59Pd21.13Pt47.94,0.37452915
333,20.4,8.94,23.27,47.39,Ag20.40Au8.94Pd23.27Pt47.39,0.373769
334,18.96,7.87,25.22,47.94,Ag18.96Au7.87Pd25.22Pt47.94,0.3755555
335,33.16,10.23,9.97,46.63,Ag33.16Au10.23Pd9.97Pt46.63,0.3685176
336,30.34,10.48,11.59,47.59,Ag30.34Au10.48Pd11.59Pt47.59,0.37081486
337,29.19,10.12,12.28,48.41,Ag29.19Au10.12Pd12.28Pt48.41,0.37273115
338,26.29,9.6,14.03,50.07,Ag26.29Au9.60Pd14.03Pt50.07,0.37656635
339,24.61,8.98,16.72,49.69,Ag24.61Au8.98Pd16.72Pt49.69,0.376722
340,23.53,9.06,17.97,49.44,Ag23.53Au9.06Pd17.97Pt49.44,0.3765064
341,22.05,7.69,19.83,50.43,Ag22.05Au7.69Pd19.83Pt50.43,0.37925327
